id	textes	classes
22	"Ce film est génial, parce Martin Campbell invente une vraie histoire pour le célèbre voleur masqué. L'histoire est sensiblement différente de la série de 1957 mais tant mieux car le scénario marche du tonnerre et les personnages ont vraiment beaucoup de charisme !!! Les acteurs sont parfaits, il n'y a rien à dire ! Antony Hopkins est excellent comme toujours, Antonio Banderas est à la fois marrant et très à l'aise, Catherine Zeta-Jones est vraiment super canon et vachement charmeuse. Le reste du casting fait un sans-faute. Les scènes d'actions sont assez nombreuses et chance, elles sont vraiment bien filmées et possèdent des combats à l'épée dignes du héros. Mais le plus gros point fort du film est pour moi la musique de James Horner, le célèbre compositeur ne fait pas preuve d'une originalité folle pour les instruments mais les mélodies sont vraiment très belles et très rythmées, le thème de Zorro est magistral!!!!! Encore une superbe composition pour Horner! La chanson "" I want to spend my lifetime loving you "" est bien entendu une grande réussite. L'ambiance du film est maîtrisée de bout en bout et l'apprentissage de Zorro est très bien foutu. On se marre, on est ému, on adore! 20/20"	1
23	Très sympa! Comique et action réunis, bon moment 😊 mais un peu trop de bon passage montrer dans la bande annonce	1
24	"""Résident débile"" s'apparente à une petite parodie amateure de jeux vidéos fait entre potes. Evidemment, ce moyen-métrage souffre d'un manque de moyen et cela se ressent dans les effets spéciaux à deux balles, dans l'affreuse prise de son, ou encore dans le jeu des ""acteurs"". Malheureusement, cette pauvreté visuelle n'est pas contrebalancée par une quelconque inspiration et de bonnes idées puisque là aussi, c'est le néant rendant vite le film insupportable et lourd."	0
25	"Il suffit que Vincent Lacoste apparaisse à l'écran pour que le film prenne soudainement son envol, atteigne une vraie légèreté mais aussi une réelle profondeur mais surtout une vérité, une réalité, une authenticité qui échappent constamment au reste du film trop littéraire et donc désincarné. On a du mal à s'attacher au personnage principal bien trop égoïste, immature, ne sachant pas choisir entre son désir et sa raison. La seule émotion qui parvient à poindre est celle de la rencontre des corps nus subtilement et sublimement désexualisés par des cadrages magnifiques pour des échanges de paroles touchantes, tendres et enfin humanisées. Si le film reste très personnel par le biais de clins d'oeil constants à la cinéphile ou à la culture discographique de Christophe Honoré, on regrette quelques figures de style qui faisaient le charme, la fragilité et la réussite des ""Chansons d'amour""."	0
26	Un joli documentaire, assez complet, mais filmé comme un docu télé et pas du tout comme un docu cinéma. Dommage... Une ballerine, un jour, m'a dit que tu avais des cuisses de danseuse, Joyce !	0
27	Le film a vieilli aujourd'hui, et je dois reconnaitre que je n'ai pas eu l'émérveillement qu'ont du avoir certains lors de sa sortie. Toutefois, ca reste un vrai bon film, par cette belle histoire d'amour difficile compliquée en plus par la situation des deux protagonistes. on se rappellera notament de la dernière, ou Marlene Dietrich suit pieds nus Gary Cooper dans le désert.	1
28	Le film n'est pas au top car : -Le scénario,on ne voie pas trop où il veut en venir. -Les décors sont totalement chipe. -Le doublage français est navrant donc un conseil,ne pas le voir en Version FR. ....Bref....	0
29	"Alice (Emily Beecham) élève seule son fils Joe. Elle s’investit plus que de raison dans son travail de phytogénéticienne dans un laboratoire botanique. Elle y est chargée avec son collègue Chris (Ben Whishaw) du développement d’une plante révolutionnaire susceptible de développer chez ceux qui en hument le pollen un sentiment de tendresse maternelle. Toutefois les premiers tests révèlent des résultats surprenants. Jessica Hausner est une réalisatrice au style particulier. Formée à l’école de Michael Haneke (elle travailla comme script sur le tournage de ""Funny Games""), elle reproduit les caractéristiques bien reconnaissables du maître autrichien bi-palmé (pour ""Le Ruban blanc"" en 2009 et pour ""Amour"" en 2012) : des plans savamment composés, une musique et un son très travaillés, la violence sous-jacente des situations, des univers glaciaux qui reflètent le vide désespérant des cœurs et des âmes… Cinéaste européenne par excellence, elle a d’abord tourné en Autriche (""Lovely Rita"", ""Hotel""), puis en France (""Lourdes""), en Allemagne (""Amour fou"") et maintenant au Royaume-Uni avec un casting cosmopolite où on reconnaît Kerry Fox, l’actrice néo-zélandaise fétiche de Jane Campion qui tenait, il y a près de trente ans, le premier rôle de ""An Angel at my table"". ""Little Joe"" flirte avec le surnaturel : la plante créée par Alice diffuse un poison qui prend possession de la volonté de ceux qui la respirent. Le film se réduit à cette idée-là. Certes, Emily Beecham joue excellemment (sa composition lui a valu le prix d’interprétation féminine à Cannes) ; mais le plaisir qu’on prend à la regarder ne suffit pas à lui seul à maintenir l’intérêt du spectateur deux heures de rang."	0
30	Tradition, humour, nostalgie, musique, un excellent cocktail avec beaucoup de tact et de subtilité et une pointe d'ironie. A voir	1
31	Des bonnes barres de rires grâce à ce petit film sans prétention ; un Dieudonné tellement bon dans son rôle qu'on se demande comment il n'a pas fait une grande carrière dans le cinéma. A voir - 16/20	1
32	Frayeurs (1980) est un film d’épouvante/horreur qui a très mal vieillit, l’histoire est inintéressante, la musique assourdissante (et agaçante), les faux raccords, les acteurs, bref, c’est tout un ensemble d’éléments qui font de cette œuvre, un film tout bonnement décevant. Certes il est réussit au niveau des séquences trash et gore, mais mise à part cela, le film de Lucio Fulci a plutôt tendance à lasser qu’autre chose !	0
33	Un sujet historique et passionnant ne contribue pas toujours à la réussite d’un film. C’est malheureusement le cas pour ce « Fossé ». Plus documentaire que fictionnel, le récit basé sur des faits réels (la rééducation en camp infligée aux opposants de Mao) énerve et ennuie. Les monstruosités vécues par les prisonniers (l’isolement, le cannibalisme, le tout pour le tout de la survie), la recherche éperdue du cadavre de son époux par une jeune citadine : rien n’y fait, ni l’émotion ni l’empathie ne nous atteint. L’utilisation d’une caméra ne se résume hélas pas à appuyer simplement sur un bouton.	0
34	inspiré de Taken, le scénario nous amène au travers d'une vendetta abracadabrante, mêlée de combats ridicules et d'un jeu d'acteurs à la limite de la comédie	0
35	Tigre et Dragon est au wu xia pian et à l'arme blanche ce que Winchester 73 est au western et à l'arme à feu. Un film presque fétichiste, centré sur une arme qui constitue l'enjeu et le moteur dramatiques. Tout part de cette épée fabuleuse et autour d'elle se greffent des personnages, des convoitises, des amours, des haines... C'était plutôt une surprise de voir Ang Lee se frotter à ce genre très codé du film d'arts martiaux chinois, lui qui avait plutôt oeuvré jusque-là dans le récit intimiste (Garçon d'honneur, Raisons et sentiments...). Disons qu'il a revisité le genre à sa manière, réalisant un film de combats doublé d'une fresque épique et sentimentale. C'est ce second aspect de l'histoire, témoignant d'une belle maîtrise de la narration, qui est surtout à mettre à son actif, le premier aspect (les scènes d'action proprement dites) étant l'oeuvre de Yuen Wo Ping, le roi de la chorégraphie d'arts martiaux. On lui doit donc les somptueuses chorégraphies de combats de Tigre et Dragon, merveilles de précision et de virtuosité, d'un raffinement aérien et surréel, d'une grâce qui touche à la poésie (par exemple, lors de la séquence finale, sur la cime d'une forêt de bambous). La réalisation, la photographie (cadres et couleurs), les effets spéciaux numériques, les décors et la musique sont au diapason, faisant de ce film un enchantement spectaculaire et lyrique. Une des plus belles réussites du genre, qui évite par ailleurs l'écueil de la surenchère d'actions, de l'agitation permanente et confuse, que l'on trouve souvent dans ce type de productions. Ang Lee a trouvé l'harmonie entre combats et lenteur contemplative, film grand public et film d'esthète.	1
36	Un chef d'œuvre absolu ! très instructif, sur un sujet délicat et si bien traité. Les acteurs sont excellent (et de surcroit d'une grande beauté). Tout est magnifiquement traité. À voir absolument !!!!	1
37	Enfin le cinéma français retrouve ses lettres de noblesse : celles du DIVERTISSEMENT ! Marre de ces films américains formatés où sexe et violence occupent tout l'espace et le scénario. Ici, on rit, on s'émeut, on se révolte, on s'extasie, on oublie pour un temps la morosité dans laquelle on nous plonge constamment. Les problèmes de société (racisme, pauvreté, décalage entre banlieues et milieux huppés, relations entre les générations) sont traités avec un humour décalé. CLICHES diront certains, REALITE je leur réponds. Mais qu'est-ce qu'on rit ! ET CA, CA N'A PAS DE PRIX... A bas l'américanisme systématique, VIVE la petite production française qui, avec quelques ficelles, nous propulse dans ce que doit être le cinéma : une EVASION ! Allez voir Paulette. Bernadette LAFONT est extraordinaire avec son gang de Mamies décalées qui ont droit, elles aussi, à leur part de bonheur ! Que les intellos laissent leurs préjugés de côté, le cinéma ne doit pas être une torture de l'esprit, bien au contraire...	1
38	Après deux ans d'inaction suite à l'échec du Fantôme de l'Opéra, Terence Fisher revient travailler pour le compte de la Hammer. Son retour s'effectue sans qu'il ne se soit ramolli. Bien au contraire. On retrouve son talent indéniable pour la mise en scène. Mais surtout il parvient, aidé de la musique de James Bernard, à composer une ambiance très réussie, à la fois inquiétante, mystérieuse et envoûtante. Le film a la bonne idée d'exploiter avec une certaine intelligence le mythe de Méduse. Ajouter à cela d'excellents acteurs dont trois étoiles du studio, Peter Cushing, Barbara Shelley et Christopher Lee (ce qui n'est pas rien !) et vous obtenez un film très réussi.	1
39	Une intrigue de départ assez captivante et plutôt réussi mais passé la première partie du film la tension tombe et le film s'embrouille dans des scènes toutes aussi débiles les unes que les autres. Comme à son habitude les acteurs asiatiques pitoyables dans se genre de film assombrit un peu plus le tableau.	0
40	Film qui a marqué ma jeunesse et pas déplaisant à revoir étant plus âgé super graphique qui a été proposé. Je le déconseille aux moins de 3 ans. 4/5	1
41	Très très bon film. Il est parfaitement représentatif de la vie de Soeur Sourire (qui ne l'oublions pas s'appelait Jeannine Beckers en raccourcit); et juste sur la présentation de cette femme extraordinaire, qui était une avant gardiste à vie difficile. Merci pour elle.	1
42	un film sacrément bien mené! l'histoire est simple et réaliste et rien n'est exagéré. Le rythme du film est soutenu par de belles notes d'humour dans un contexte plutôt dramatique. Catherine zeta Jones est vraiment attachante, on regrette quand meme le manque de détails dans sa relation de couple avec le père de ses enfants. un bon film a voir pour les femmes	1
43	Dans l'histoire du polar, il y a eu un avant et un après Le Samouraï. C'est avec ce long-métrage que Jean-Pierre Melville atteint sa maturité artistique et trouve véritablement son style qui inspirera tant de cinéastes (Jim Jarmush, John Woo, Johnnie To, Michael Mann et j'en passe...). Si les films précédents de ce réalisateur étaient encore emprunt d'un certain pittoresque français, Le Samouraï prend clairement ses distances avec la réalité. Ici, les décors sont irréalistes, l'intrigue est peu vraisemblable et il n'y a quasiment plus de personnages à proprement parler. Melville vise une forme d'épure minimaliste qui doit autant au film noir américain qu'à la culture nippone. La réalisation rigoureuse, la magnifique photographie aux accents métalliques et le jeu hiératique d'un Alain Delon en grande forme sont autant de passerelles pour entrer dans cet univers mortuaire, aussi froid qu'envoutant.	1
44	Apparemment inspirée de Roméo et Juliette (c’est la réalisatrice Shana Feste qui l’affirme), cette nouvelle adaptation du roman de Scott Spencer est d’une vacuité totale. Ce film est comme son titre… sans fin. On s’ennuie profondément devant cette histoire d’amour pseudo passionnelle qui en plus d’être invraisemblable du début à la fin prend le spectateur pour un idiot. De toute façon, ça commençait mal. Alors que la jolie Jade devrait selon toute logique être la fille la plus populaire du lycée (enfin selon les stéréotypes auxquels nous ont habitué les teen movies), elle n’a que son frère comme ami et a décidé de se terrer dans ses livres après avoir été traumatisée par la mort de son frère aîné, victime d’un cancer. Ce qui ne l’empêche pas de sourire à la vie lors de sa cérémonie de remise de diplômes et d’y attirer l’attention de David qui en trois ans n’a soi-disant pas remarqué son existence. On a bien du mal à y croire et à s’attacher à ces personnages qui en l’espace de cinq minutes ont déjà perdu toute crédibilité. Puis les deux se rencontrent et tombent amoureux… L’occasion pour la réalisatrice de livrer une multitude de scènes mielleuses avec les jolis mais dénués de charme, Alex Pettyfer et Gabriella Wilde dans les rôles des amants « maudits ». Leur bonheur s’achève quand le père de Jade, docteur de son état, refuse de voir sa petite fille chérie tomber dans les bras d’un fils de mécanicien. Plus cliché tu meurs… La réaction de celui-ci est tellement disproportionnée qu’elle en devient ridicule. Alors qu’on s’attend à assister à une bluette d’ados, on se retrouve face au drame d’un père hanté par la mort de son fils et dont les autres enfants payent le mal-être... Venez découvrir ma critique dans son intégralité sur mon site ScreenReview !	0
45	Une comédie vraiment fauchée ! Vous ne regrettez rien en ne la voyant pas.	0
46	Dans le genre film qui n'a ni queue ni tête il se classe dans les 10 premiers ^^ ou alors il y a un truc que j'ai mal compris, trop subtil pour moi peut être ......	0
47	se film et une vrai perle du cinema passé inaprcu l'or de sa sortie je vous le conseil un d'une beauté sublime le realisateur et tre fort acteur parfait bo sublime bref un chef d'oeuvre	1
48	Loin de certains polars hongkongais livrant aux spectateurs des flics ripoux des plus noirs, la caméra de Lu Chan talonne ici les pas d’un policier loyal et consciencieux, magistralement interprété par Jiang Wen, un des plus grands acteurs chinois de sa génération. A l’instar des héros de Chandler et Hammett, la première scène du film montre Ma Shan, flic dans une bourgade chinoise, vivre un réveil difficile. Surmontant sa gueule de bois, il finit tant bien que mal par retrouver la position verticale et se rend compte, en tâtonnant son étui en cuir éperdument vide, que son arme de service a disparu. La panique s’empare de Ma Shan qui se lance alors dans une course contre la montre pour retrouver cette arme avant qu’elle n’ait servi. Pour ce faire, il remonte avec minutie les vingt heures qui le séparent de sa dépossession. Son enquête l’amène à arpenter les places publiques, les commerces de ses amis, des ruelles toujours plus étroites et labyrinthiques... Pour découvrir que son petit village est plus mouvementé qu’il n’y paraît. Du scénario ménageant un suspense permanent, et du montage fulgurant, se dégage une énergie surprenante renforcée par une bande son détonante de rock électro déjanté. Ses caractéristiques techniques comme ses considérations éthiques sous-jacentes font de Missing Gun un véritable conte populaire en ce nouveau millénaire. LU Chuan est né en 1971. Après ses études secondaires à Pékin, il entre au prestigieux Institut des Affaires Internationales de l’Armée Populaire où il étudie la littérature britannique. Ensuite il rejoint l’armée comme traducteur et en parallèle tourne plusieurs publicités. En 1996 il quitte l’Armée et rentre à l’ Académie du Film de Pékin d’où il sort diplômé deux ans plus tard. Après son premier film, Missing Gun, présenté à Venise en 2002 il réalise Ke Ke Xi Li, La patrouille sauvage, sorti en France en 2006.	1
49	"Ben Affleck est revenu de loin faut le dire. Avant d'être un acteur respecté à nouveau grâce à sa prestation dans Hollywoodland et d'être un réalisateur respecté, il a eu une sale tendance à enchainer les mauvais films pendant une période que j'appelle ""j'ai besoin d'argent pour entretenir ma morue de Jennifer Lopez"". Et en ce sens Daredevil est en parfaite cohérence avec le parcours de l'acteur durant ce triste passage de sa carrière. Le film est mauvais tout simplement. D'une part on constatera le manque de crédibilité de tout les acteurs qui visiblement n'étaient pas impliqués dans le projet. De plus Affleck avait une image trop proprette sur lui pour interpréter un personnage aussi sombre que Daredevil. L'ensemble tente de se donner un côté ""DARK"" mais c'est juste ridicule. Le scénario est complètement à la ramasse et vraiment peu passionnant. Dans les bons côtés on peut quand même souligner d'assez bonnes scènes d'actions avec des chorégraphies réussies et.... bah non en fait c'est la seule qualité de ce film qui est juste mauvais. A éviter absolument."	0
50	Pas de messe, pas de prière, pas de cérémonie pour parle de Invincible, un film indescriptiblement réussi par la douce et sublime Angelina Jolie. Elle tenait chaudement son sujet à cœur pour retracer de maniène grandiose la dure vie de Louis Zamperini. Interprété à la perfection par Jack O'Connell, le film sera de plus doté d'une atmosphère maîtrisé avec brio. Je recommande fortement Invincible qui débute l'année avec de fortes émotions !	1
51	"Un film atypique réalisé avec un budget microscopique mais dont l'inventivité compense largement un manque de moyen évident. Film underground plaisant qui sort des sentiers battus mais qui n'est pas dans la lignée des ""survivals"" traditionnels. A découvrir soi-même pour se faire une idée."	1
52	J'ai adoré du début à la fin!Russell Brand est hilarant et génial dans ce film!à voir de toute urgence;	1
53	Comédie assez moyenne avec dans les rôles principaux, entourant Virna Lisi, un casting britannique comprenant James Fox, la très flegmatique Margaret Rutherford et Terry Thomas qui comme à son habitude en fait des tonnes. Ce dernier offre une triple composition, les trois ciblées par Virna Lisi dans des numéros vénaux à l’humour inégal. Le final offre une Virna Lisi douchée en porte jarretelles et combinaison noire en lambeaux, point d’orgue des quelques apparitions sexy de la belle italienne. Le reste, assez plat, laisse penser que Bolognini, qui n’a pas participé à l’écriture, ne s’est pas vraiment intéressé au film. ARABELLA néanmoins bénéficie des habituels compères du réalisateur. Ennio Guarneri à la photographie et Piero Tosi pour les costumes, apportant comme toujours un aspect très soigné, voire luxueux. Par contre, Nino Baragli, le monteur attitré, manque à l’appel. Pas sur que cela aurait changé grand chose.	0
54	beaucoup aimé ce film tirée d'une histoire vraie. bien réalisé, répliques drôles, actrices/acteurs au top. j'ai vraiment passé un bon moment.	1
55	un film nul qui ne sert à rien...tout y est mauvais....acteurs pas crédibles !!!!	0
56	"Cette suite de la comédie policière culte, ""Fantômas"", sortie un an après ce dernier et qui met toujours en scène Louis de Funès et Jean Marais en acteurs principaux est, pour ma part, un peu mieux que le premier, ce qui le rend évidemment excellent, le premier étant déjà très bon. Le scénario est toujours aussi bon et pleins d'inventivité, ce qui ne le rend pas répétitif et le film expose plus coté comique en mettant peut-être Louis de Funès un peu plus en avant et en y intégrant plus de gags souvent très drôle ce qui est plutôt une bonne chose. Pour le rythme, il est toujours aussi bien géré, on ne s'ennuie pas une seconde. Du coté des acteurs, on retrouve la même petite troupe que dans le premier et ils jouent toujours aussi bien. Le seul coté négatif, ce sont les effets spéciaux de l'époque qui ont aujourd'hui très mal vieillis mais cela n'empêche pas à ""Fantômas de Déchaîne"" d'être un très bon film qui se laisse regarder très facilement pour passer une bonne soirée."	1
57	"Magnifique et prenant, ce film est un vrai bijou. Les personnages sont attachants et on se laisse porter par la magie des arts martiaux et la beauté de la philosophie autant que religion bouddhiste. Sur une musique a donner des frissons, on ne voit pas le film passé. Andy Lau est vraiment impressionnant mais on regrette le petit rôle de Jackie Chan. Dommage aussi pour la vf, la voix de Cao Man change en plein milieu,on doute alors si c'est bien le même qui est devenu ""méchant"".Mais ça reste un classique à voir absolument pour les fans de films d'arts martiaux."	1
58	Ce film sent l'amateurisme à plein: les monstres sont mal faits, les acteurs pas du tout crédibles, les maquillages outranciers et l'histoire tirée par les cheveux. Bref: risible.	0
59	"Après ""Le passage"", le cinèaste Renè Manzor, frère de Francis Lalanne (ici producteur), retrouve le jeune Alain Musy, aventurier en culotte courte confrontè à Patrick Floersheim en Père Noël assassin! Au cours d'une nuit de terreur, ce gamin surdouè fait preuve de courage et d'imagination pour rester en vie! Seul avec son grand-père malade qu'incarne Louis Ducreux, il va lutter jusqu'à l'arrivèe salvatrice de sa mère, Brigitte Fossey, qui apporte son èlègance raffinèe à ce thriller angoissant à la française! La camèra de Manzor traque cet affrontement sans pitiè dans les recoins d'un château isolè, piègè par l'enfant! Du cinèma ambitieux et cruel, mais qui a malheureusement mal vieilli aujourd'hui! A voir, si possible, aux fêtes de fin d'annèe..."	0
60	un très bon slasher aussi excellent que les scream 4/5	1
61	"Caricature sans intérèt des drames psychologiques germano-scandinaves au metaphores lourdingues sur l'adolescence. Pourtant friand du genre quand les français s'y mettent (Steack, Harry un ami..., Qui a tué Bamby, les revenants, swimming pool, lemming etc) j'ai décroché au milieu du film envahit progressivement par une indifférence totale pour le devenir des personnages si maladroitement interprètés et pour l'histoire d'une invraisemblance rare. J'ai adoré des films scandinaves comme l'excellent ""Morse"", mais là, j'avoue ne pas avoir été au bout de cette oeuvre à la lisière du néant. Je ne connais pas la fin et tant mieux. Melvil Poupaud est bien meilleurs ailleurs!"	0
